date,time,feature_dim,temp,k,batch_size,epochs,nshots,train_size,acc1
10-05-2021,05:07:15,128,0.5,1,512,5,6,-1,70.770
10-05-2021,05:11:18,128,0.5,1,512,5,7,-1,70.575
10-05-2021,05:15:21,128,0.5,1,512,5,8,-1,72.251
10-05-2021,05:19:24,128,0.5,1,512,5,9,-1,71.644
10-05-2021,05:23:26,128,0.5,1,512,5,10,-1,73.046
10-05-2021,05:27:30,128,0.5,1,512,5,11,-1,73.761
10-05-2021,05:31:34,128,0.5,1,512,5,12,-1,74.953
10-05-2021,05:35:37,128,0.5,1,512,5,13,-1,68.473
10-05-2021,05:39:40,128,0.5,1,512,5,14,-1,74.216
10-05-2021,05:43:42,128,0.5,1,512,5,15,-1,74.064
10-05-2021,05:47:43,128,0.5,1,512,5,16,-1,76.911
10-05-2021,05:51:44,128,0.5,1,512,5,32,-1,77.113
10-05-2021,05:55:47,128,0.5,1,512,5,64,-1,77.070
10-05-2021,05:59:47,128,0.5,1,512,5,128,-1,81.441
10-05-2021,06:03:49,128,0.5,1,512,5,256,-1,84.316
10-05-2021,06:07:50,128,0.5,1,512,5,512,-1,87.971
10-05-2021,06:11:53,128,0.5,1,512,5,1024,-1,90.023
10-05-2021,06:15:54,128,0.5,1,512,5,2048,-1,91.663
10-05-2021,06:19:58,128,0.5,1,512,5,4096,-1,92.826
10-05-2021,06:24:00,128,0.5,1,512,5,-1,-1,94.777
10-05-2021,06:28:04,128,0.5,1,512,5,1,-1,38.015
10-05-2021,06:32:06,128,0.5,1,512,5,2,-1,49.559
10-05-2021,06:36:09,128,0.5,1,512,5,3,-1,60.851
10-05-2021,06:40:08,128,0.5,1,512,5,4,-1,70.633
10-05-2021,06:44:11,128,0.5,1,512,5,5,-1,71.298
10-05-2021,06:48:13,128,0.5,1,512,5,6,-1,67.541
10-05-2021,06:52:15,128,0.5,1,512,5,7,-1,69.087
10-05-2021,06:56:18,128,0.5,1,512,5,8,-1,73.934
10-05-2021,07:00:19,128,0.5,1,512,5,9,-1,76.073
10-05-2021,07:04:20,128,0.5,1,512,5,10,-1,72.779
10-05-2021,07:08:21,128,0.5,1,512,5,11,-1,77.084
10-05-2021,07:12:23,128,0.5,1,512,5,12,-1,69.484
10-05-2021,07:16:25,128,0.5,1,512,5,13,-1,72.302
10-05-2021,07:20:26,128,0.5,1,512,5,14,-1,76.210
10-05-2021,07:24:27,128,0.5,1,512,5,15,-1,70.842
10-05-2021,07:28:32,128,0.5,1,512,5,16,-1,73.335
10-05-2021,07:32:34,128,0.5,1,512,5,32,-1,73.031
10-05-2021,07:36:37,128,0.5,1,512,5,64,-1,81.029
10-05-2021,07:40:39,128,0.5,1,512,5,128,-1,85.024
10-05-2021,07:44:41,128,0.5,1,512,5,256,-1,85.977
10-05-2021,07:48:43,128,0.5,1,512,5,512,-1,87.032
10-05-2021,07:52:45,128,0.5,1,512,5,1024,-1,89.871
10-05-2021,07:56:48,128,0.5,1,512,5,2048,-1,92.234
10-05-2021,08:00:48,128,0.5,1,512,5,4096,-1,93.780
10-05-2021,08:04:50,128,0.5,1,512,5,-1,-1,94.755
10-05-2021,08:05:48,128,0.5,1,512,5,128,800,84.258
10-05-2021,08:06:46,128,0.5,1,512,5,128,1024,82.958
10-05-2021,08:07:50,128,0.5,1,512,5,128,2048,83.073
10-05-2021,08:09:06,128,0.5,1,512,5,128,4096,78.096
10-05-2021,08:10:46,128,0.5,1,512,5,128,8192,72.323
10-05-2021,08:13:14,128,0.5,1,512,5,128,16384,75.199
10-05-2021,08:16:15,128,0.5,1,512,5,128,22000,75.596
10-05-2021,08:20:23,128,0.5,1,512,5,128,-1,81.260
10-05-2021,08:21:20,128,0.5,1,512,5,128,800,84.164
10-05-2021,08:22:18,128,0.5,1,512,5,128,1024,82.755
10-05-2021,08:23:22,128,0.5,1,512,5,128,2048,82.965
10-05-2021,08:24:36,128,0.5,1,512,5,128,4096,79.425
10-05-2021,08:26:15,128,0.5,1,512,5,128,8192,71.117
10-05-2021,08:28:42,128,0.5,1,512,5,128,16384,76.456
10-05-2021,08:31:41,128,0.5,1,512,5,128,22000,76.701
10-05-2021,08:35:47,128,0.5,1,512,5,128,-1,84.179
10-05-2021,08:36:45,128,0.5,1,512,5,128,800,84.186
10-05-2021,08:37:42,128,0.5,1,512,5,128,1024,83.348
10-05-2021,08:38:46,128,0.5,1,512,5,128,2048,83.052
10-05-2021,08:40:01,128,0.5,1,512,5,128,4096,78.247
10-05-2021,08:41:42,128,0.5,1,512,5,128,8192,70.459
10-05-2021,08:44:11,128,0.5,1,512,5,128,16384,77.872
10-05-2021,08:47:09,128,0.5,1,512,5,128,22000,76.188
10-05-2021,08:51:15,128,0.5,1,512,5,128,-1,82.336
10-05-2021,08:52:14,128,0.5,1,512,5,128,800,84.468
10-05-2021,08:53:12,128,0.5,1,512,5,128,1024,82.835
10-05-2021,08:54:16,128,0.5,1,512,5,128,2048,82.900
10-05-2021,08:55:30,128,0.5,1,512,5,128,4096,78.789
10-05-2021,08:57:09,128,0.5,1,512,5,128,8192,73.371
10-05-2021,08:59:37,128,0.5,1,512,5,128,16384,77.352
10-05-2021,09:02:34,128,0.5,1,512,5,128,22000,74.996
10-05-2021,09:06:41,128,0.5,1,512,5,128,-1,80.711
10-05-2021,09:07:39,128,0.5,1,512,5,128,800,84.504
10-05-2021,09:08:37,128,0.5,1,512,5,128,1024,83.427
10-05-2021,09:09:40,128,0.5,1,512,5,128,2048,82.936
10-05-2021,09:10:56,128,0.5,1,512,5,128,4096,78.551
10-05-2021,09:12:34,128,0.5,1,512,5,128,8192,72.388
10-05-2021,09:15:04,128,0.5,1,512,5,128,16384,76.001
10-05-2021,09:18:05,128,0.5,1,512,5,128,22000,79.526
10-05-2021,09:22:10,128,0.5,1,512,5,128,-1,82.322
