epoch,train_loss,test_acc@1,test_acc@5
1,6.268343501620823,28.225689929200982,100.0
2,5.972643526773604,31.64282618118769,100.0
3,5.886673541296096,39.90030342436064,100.0
4,5.833729668269082,42.392717815344604,100.0
5,5.810443847898453,45.41973703222077,100.0
6,5.777715448349241,41.34518133217743,100.0
7,5.722352565280975,47.81823435919665,100.0
8,5.667669250851586,46.01213697442566,100.0
9,5.63723763965425,37.704089004479115,100.0
10,5.614040193103609,41.15734720416125,100.0
11,5.601499686165462,51.040312093628096,100.0
12,5.590380131252228,44.921254154023984,100.0
13,5.5711354906596835,44.7767663632423,100.0
14,5.559733466496543,43.12960554833117,100.0
15,5.55129026988196,44.23493714781101,100.0
16,5.54248661465115,48.98136107498917,100.0
17,5.53148597384256,48.2011270047681,100.0
18,5.511489610823374,44.690073688773296,100.0
19,5.5071616097102085,42.703366565525215,100.0
20,5.49308685272459,43.736454269614214,100.0
21,5.480451175144741,46.65510764340413,100.0
22,5.46738040258014,49.34980494148245,100.0
23,5.461714456951808,45.11631267157925,100.0
24,5.451497759137835,44.827337090015895,100.0
25,5.440617523496113,43.678659153301545,100.0
26,5.432875830029684,44.05432740933391,100.0
27,5.422845984262134,48.706834272503976,100.0
28,5.4069757007417225,49.21976592977894,100.0
29,5.402290836213127,49.01748302268458,100.0
30,5.392297252776131,47.69541973703222,100.0
31,5.390520391010103,48.2444733420026,100.0
32,5.385147382342626,48.23724895246352,100.0
33,5.381405194600423,46.56119057939604,100.0
34,5.374673434666225,49.35702933102153,100.0
35,5.373953175923181,44.350527380436354,100.0
36,5.3707839496552,44.97904927033666,100.0
37,5.360786854274689,49.24866348793527,100.0
38,5.364918867746989,49.67490247074122,100.0
39,5.3624960657150025,46.83571738188123,100.0
40,5.354037352970669,48.45398063863603,100.0
41,5.355787322634742,49.42204883687328,100.0
42,5.357119098542229,47.81100996965756,100.0
43,5.350435665675572,48.49010258633146,100.0
44,5.345384022546193,49.96387805230458,100.0
45,5.337161117129856,47.10301979482734,100.0
46,5.338594868069603,52.50686317006213,100.0
47,5.339937505267915,45.25357607282184,100.0
48,5.337211328839499,51.30039011703511,100.0
49,5.334371369982523,47.57982950440688,100.0
50,5.3304963036189,49.884409767374656,100.0
